EDINET CODE,証券コード,会社名,33業種区分,17業種区分,規模区分
E02242,72170,株式会社テイン,輸送用機器,自動車・輸送機 ,
E01283,56120,日本鋳鉄管株式会社,鉄鋼,鉄鋼・非鉄 ,7
E01415,59360,東洋シヤッター株式会社,金属製品,建設・資材 ,7
E04108,90490,京福電気鉄道株式会社,陸運業,運輸・物流 ,
E00897,46170,中国塗料株式会社,化学,素材・化学 ,6
E00406,22670,株式会社ヤクルト本社,食料品,食品 ,4
E03064,81820,株式会社いなげや,小売業,小売 ,7
E03145,98500,株式会社グルメ杵屋,小売業,小売 ,7
E05466,37630,株式会社プロシップ,情報・通信業,情報通信・サービスその他 ,7
E01644,72550,株式会社桜井製作所,輸送用機器,自動車・輸送機 ,
E01870,67770,ｓａｎｔｅｃ株式会社,電気機器,電機・精密 ,
E02105,72130,レシップホールディングス株式会社,輸送用機器,自動車・輸送機 ,7
E02909,47430,株式会社アイティフォー,情報・通信業,情報通信・サービスその他 ,7
E04228,90290,株式会社ヒガシトゥエンティワン,陸運業,運輸・物流 ,
E01010,49990,セメダイン株式会社,化学,素材・化学 ,
E31612,71800,株式会社九州フィナンシャルグループ,銀行業,銀行 ,4
E03953,88600,フジ住宅株式会社,不動産業,不動産 ,7
E01509,61510,日東工器株式会社,機械,機械 ,7
E00725,78640,株式会社フジシールインターナショナル,その他製品,情報通信・サービスその他 ,6
E03247,27190,株式会社キタムラ,小売業,小売 ,
E00752,40050,住友化学株式会社,化学,素材・化学 ,4
E04154,90240,株式会社西武ホールディングス,陸運業,運輸・物流 ,4
E01828,68070,日本航空電子工業株式会社,電気機器,電機・精密 ,6
E02955,27600,東京エレクトロン デバイス株式会社,卸売業,商社・卸売 ,7
E24017,21960,株式会社エスクリ,サービス業,情報通信・サービスその他 ,7
E03236,74210,カッパ・クリエイト株式会社,小売業,小売 ,6
E03407,27670,フィールズ株式会社,卸売業,商社・卸売 ,7
E03571,83580,スルガ銀行株式会社,銀行業,銀行 ,4
E01231,54060,株式会社　神戸製鋼所,鉄鋼,鉄鋼・非鉄 ,4
E01975,65940,日本電産株式会社,電気機器,電機・精密 ,2
E02115,57580,ＦＣＭ株式会社,非鉄金属,鉄鋼・非鉄 ,
E02778,99840,ソフトバンクグループ株式会社,情報・通信業,情報通信・サービスその他 ,1
E04806,85950,株式会社ジャフコ,証券、商品先物取引業,金融（除く銀行） ,4
E01480,61010,株式会社ツガミ,機械,機械 ,6
E04379,,株式会社ＭＢＳメディアホールディングス,,,
E03361,26740,株式会社ハードオフコーポレーション,小売業,小売 ,7
E01737,65010,株式会社日立製作所,電気機器,電機・精密 ,1
E05539,33930,スターティア株式会社,卸売業,商社・卸売 ,7
E03020,82420,エイチ・ツー・オー リテイリング株式会社,小売業,小売 ,4
E03530,83030,株式会社新生銀行,銀行業,銀行 ,4
E04187,90640,ヤマトホールディングス株式会社,陸運業,運輸・物流 ,2
E22460,36350,株式会社コーエーテクモホールディングス,情報・通信業,情報通信・サービスその他 ,6
E01634,64090,株式会社キトー,機械,機械 ,6
E03619,,株式会社東京スター銀行,,,
E02131,70180,内海造船株式会社,輸送用機器,自動車・輸送機 ,
E00685,38910,ニッポン高度紙工業株式会社,パルプ・紙,素材・化学 ,
E04463,94370,株式会社ＮＴＴドコモ,情報・通信業,情報通信・サービスその他 ,1
E03184,99190,株式会社関西スーパーマーケット,小売業,小売 ,7
E00536,31250,新内外綿株式会社,繊維製品,素材・化学 ,
E01282,56600,神鋼鋼線工業株式会社,鉄鋼,鉄鋼・非鉄 ,
E30682,60960,株式会社レアジョブ,サービス業,情報通信・サービスその他 ,
E31012,28830,株式会社大冷,食料品,食品 ,7
E05112,26560,株式会社ベクター,小売業,小売 ,
E31123,78150,東京ボード工業株式会社,その他製品,情報通信・サービスその他 ,
E03568,83610,株式会社大垣共立銀行,銀行業,銀行 ,4
E00621,79610,兼松サステック株式会社,その他製品,情報通信・サービスその他 ,7
E02931,26920,伊藤忠食品株式会社,卸売業,商社・卸売 ,7
E02231,72660,株式会社今仙電機製作所,輸送用機器,自動車・輸送機 ,7
E05310,23320,株式会社クエスト,情報・通信業,情報通信・サービスその他 ,
E03197,99430,株式会社ココスジャパン,小売業,小売 ,
E00478,28130,和弘食品株式会社,食料品,食品 ,
E02729,98890,ＪＢＣＣホールディングス株式会社,情報・通信業,情報通信・サービスその他 ,7
E00681,39520,中央紙器工業株式会社,,,
E03776,86920,株式会社だいこう証券ビジネス,証券、商品先物取引業,金融（除く銀行） ,7
E05456,24400,株式会社ぐるなび,サービス業,情報通信・サービスその他 ,6
E04967,46530,株式会社ダイオーズ,サービス業,情報通信・サービスその他 ,7
E05317,23420,株式会社トランスジェニック,サービス業,情報通信・サービスその他 ,
E01902,69990,ＫＯＡ株式会社,電気機器,電機・精密 ,6
E05059,47390,伊藤忠テクノソリューションズ株式会社,情報・通信業,情報通信・サービスその他 ,4
E04722,,多治見クラシック株式会社,,,
E04748,,株式会社メイプルポイントゴルフクラブ,,,
E00811,41140,株式会社日本触媒,化学,素材・化学 ,4
